text
"彭朱如老師的管理學課程difficult分數為81.82,busy分數為80.25,low分數為96.65,high分數為48.21,easy分數為6.72,interesting分數為99.03,clear分數為54.74,implicit分數為65.26,heavy分數為64.27,boring分數為5.47,thoughtful分數為96.2,sweet分數為88.65,hard分數為67.65,cold分數為74.88."
"蔡維奇、羅明琇老師的管理學課程difficult分數為66.74,busy分數為55.15,low分數為62.68,high分數為50.02,easy分數為36.52,interesting分數為98.12,clear分數為59.12,implicit分數為77.85,heavy分數為23.43,boring分數為3.6,thoughtful分數為90.47,sweet分數為78.71,hard分數為58.59,cold分數為11.19."
"成力庚、黃家齊老師的管理學課程difficult分數為33.33,busy分數為12.77,low分數為55.27,high分數為10.43,easy分數為0.7,interesting分數為52.02,clear分數為18.05,implicit分數為9.23,heavy分數為2.43,boring分數為11.4,thoughtful分數為60.83,sweet分數為78.99,hard分數為34.44,cold分數為14.85."
"傅浚映老師的管理學課程difficult分數為92.99,busy分數為95.51,low分數為82.8,high分數為95.73,easy分數為92.93,interesting分數為98.74,clear分數為99.07,implicit分數為95.51,heavy分數為95.54,boring分數為64.0,thoughtful分數為98.79,sweet分數為98.6,hard分數為96.7,cold分數為89.58."
"黃韋仁老師的管理學課程difficult分數為91.38,busy分數為96.21,low分數為85.23,high分數為97.5,easy分數為75.26,interesting分數為98.39,clear分數為98.19,implicit分數為97.22,heavy分數為92.66,boring分數為65.5,thoughtful分數為98.4,sweet分數為97.58,hard分數為89.68,cold分數為88.27."
"郭曉玲老師的管理學課程difficult分數為84.44,busy分數為91.8,low分數為58.37,high分數為88.47,easy分數為62.57,interesting分數為95.65,clear分數為94.86,implicit分數為92.35,heavy分數為84.52,boring分數為41.75,thoughtful分數為96.29,sweet分數為91.43,hard分數為85.86,cold分數為64.02."
"吳恬妤、黃家齊老師的管理學課程difficult分數為89.25,busy分數為97.68,low分數為73.67,high分數為95.23,easy分數為90.12,interesting分數為98.21,clear分數為98.54,implicit分數為94.18,heavy分數為94.57,boring分數為66.67,thoughtful分數為99.04,sweet分數為95.46,hard分數為93.3,cold分數為78.59."
"張彥成老師的管理學課程difficult分數為93.64,busy分數為97.36,low分數為82.23,high分數為98.57,easy分數為94.98,interesting分數為99.15,clear分數為98.27,implicit分數為97.92,heavy分數為97.82,boring分數為85.22,thoughtful分數為98.98,sweet分數為98.81,hard分數為96.69,cold分數為90.18."
"謝凱宇老師的管理學課程difficult分數為52.93,busy分數為54.55,low分數為26.94,high分數為64.58,easy分數為20.09,interesting分數為72.33,clear分數為67.08,implicit分數為62.41,heavy分數為49.32,boring分數為8.94,thoughtful分數為78.62,sweet分數為47.98,hard分數為49.84,cold分數為26.65."
"翁玲華老師的管理學課程difficult分數為88.11,busy分數為92.19,low分數為62.76,high分數為91.88,easy分數為76.99,interesting分數為93.35,clear分數為95.17,implicit分數為95.07,heavy分數為86.12,boring分數為78.34,thoughtful分數為95.77,sweet分數為93.43,hard分數為90.69,cold分數為85.09."
